	Structure	Exp.	Calc.	Diff.	SMILES
0	Methane	8.37	6.44	-1.92	C
1	Ethane	7.66	7.08	-0.58	CC
2	Propane	8.18	7.71	-0.47	CCC
3	Butane	8.7	8.34	-0.35	CCCC
4	2-Methyl-propane	9.7	8.34	-1.35	CC(C)C
5	Pentane	9.76	8.97	-0.78	CCCCC
6	Methyl-butane	9.97	8.97	-0.99	CCCCC
7	Dimethyl-propane	10.46	8.97	-1.48	CCC(C)C
8	Hexane	10.4	9.61	-0.79	CCCCCC
9	2-Methyl-pentane	10.56	9.61	-0.95	CCCC(C)C
10	3-Methyl-pentane	10.5	9.61	-0.89	CCC(C)CC
11	2,2-Dimethyl-butane	10.85	9.61	-1.24	CCC(C)(C)C
12	Heptane	10.96	10.24	-0.72	CCCCCCC
13	2,4-Dimethyl-pentane	12.04	10.23	-1.81	CC(C)CC(C)C
14	Octane	12.1	10.87	-1.22	CCCCCCCC
15	2,2,4-Trimethyl-pentane	11.93	10.86	-1.06	CC(C)CC(C)(C)C
16	2,2,5-Trimethyl-hexane	11.39	11.5	0.1	CC(C)CCC(C)(C)C
17	Cyclopropane	3.13	2.68	-0.44	C1CC1
18	Cyclopentane	5.02	3.95	-1.07	C1CCCC1
19	Cyclohexane	5.14	4.58	-0.55	C1CCCCC1
20	Methyl-cyclopentane	6.68	4.58	-2.09	CC1CCCC1
21	Cycloheptane	3.33	5.22	1.88	C1CCCCCC1
22	Methyl-cyclohexane	7.14	5.22	-1.92	CC1CCCCC1
23	Cyclooctane	3.58	5.85	2.27	C1CCCCCCC1
24	cis-1,2-Dimethyl-cyclohexane	6.62	5.85	-0.77	C[C@@H]1CCCC[C@@H]1C
25	Ethene	5.32	4.3	-1.02	C=C
26	Propene	5.31	4.83	-0.48	CC=C
27	1-Butene	5.77	5.46	-0.3	CCC=C
28	Methyl-propene	4.87	5.36	0.49	CC=CC
29	1-Pentene	6.96	6.09	-0.86	CCCC=C
30	trans-2-Pentene	5.59	6.0	0.4	CC/C=C/C
31	2-Methyl-2-butene	5.48	5.89	0.41	CC=C(C)C
32	3-Methyl-1-butene	7.65	6.1	-1.55	CC(C)C=C
33	1-Hexene	7.02	6.73	-0.29	CCCCC=C
34	2-Methyl-1-pentene	6.15	6.62	0.47	CCCC(C)=C
35	4-Methyl-1-pentene	7.99	6.73	-1.26	CC(C)CC=C
36	trans-2-Heptene	6.96	7.26	0.3	CCCC/C=C/C
37	1-Octene	9.08	7.99	-1.08	CCCCCCC=C
38	Cyclopentene	2.34	0.97	-1.37	C1CC=CC1
39	Cyclohexene	1.54	1.6	0.06	C1CCC=CC1
40	1-Methyl-cyclohexene	2.8	2.13	-0.66	CC1=CCCCC1
41	Butadiene	2.57	2.58	0.01	C=CC=C
42	1,4-Pentadiene	3.94	3.22	-0.72	C=CCC=C
43	Cyclopentadiene	-6.2	-2.01	4.18	C1C=CC=C1
44	Methyl-butadiene	2.85	3.12	0.26	CC=CC=C
45	1,5-Hexadiene	4.22	3.85	-0.37	C=CCCC=C
46	Dimethyl-butadiene	1.66	3.65	1.98	CC(C)=CC=C
47	Cycloheptatriene	-4.14	-3.73	0.41	C1C=CC=CC=C1
48	Ethine	-0.05	-0.83	-0.77	C#C
49	Propine	-1.28	-0.51	0.76	CC#C
50	1-Butine	-0.68	0.12	0.8	CCC#C
51	1-Pentine	0.06	0.75	0.69	CCCC#C
52	1-Hexine	1.2	1.39	0.18	CCCCC#C
53	1-Heptine	2.51	2.02	-0.49	CCCCCC#C
54	1-Octine	2.97	2.65	-0.32	CCCCCCC#C
55	1-Nonine	4.4	3.28	-1.11	CCCCCCCC#C
56	1-Buten-3-ine	0.17	-2.76	-2.92	C=CC#C
57	Benzene	-3.62	-4.36	-0.74	c1ccccc1
58	Methyl-benzene	-3.71	-3.83	-0.11	Cc1ccccc1
59	Ethyl-benzene	-3.33	-3.14	0.19	CCc1ccccc1
