mol,Name,MW,pubnum,pub1,id1,pubname1,value1,error1,dimension1,process,te53p,pH,status1,purity1,conv,final,dimension3,error,comments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,
CC(C)(C)C,"2,2-dimethylpropane",72.151,,"[Abraham, 1982 #1002]",,Table 4,6.78,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CC(C)C,2-methylpropane,58.12,,"[Abraham, 1982 #1002]",,Table 4,6.59,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C(CC)(CC)(CC)CC,"3,3-diethylpentane",128.26,,"[Abraham, 1982 #1002]",,Table 4,6.5,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[Ar],Argon,39.95,,"[Abraham, 1982 #1002]",,Table 4,6.27,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCC,butane,58.12,,"[Abraham, 1982 #1002]",,Table 4,6.35,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[O+]#[C-],Carbon monoxide,28.01,,"[Abraham, 1982 #1002]",,Table 4,6.5,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C1CCCCC1,cyclohexane,84.16,,"[Abraham, 1982 #1002]",,Table 4,5.5,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C1CCCC1,cyclopentane,70.14,,"[Abraham, 1982 #1002]",,Table 4,5.48,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[H][H],dihydrogen,2.02,,"[Abraham, 1982 #1002]",,Table 4,6.62,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
N#N,dinitrogen,32.048,,"[Abraham, 1982 #1002]",,Table 4,6.73,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O=O,dioxygen,32,,"[Abraham, 1982 #1002]",,Table 4,6.33,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CC,ethane,30.07,,"[Abraham, 1982 #1002]",,Table 4,6.11,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[He],Helium,4,,"[Abraham, 1982 #1002]",,Table 4,7.03,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCC,heptane,100.2,,"[Abraham, 1982 #1002]",,Table 4,6.9,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCC,hexane,86.18,,"[Abraham, 1982 #1002]",,Table 4,6.82,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[Kr],Krypton,83.8,,"[Abraham, 1982 #1002]",,Table 4,5.93,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C,methane,16.04,,"[Abraham, 1982 #1002]",,Table 4,6.28,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[Ne],Neon,20.183,,"[Abraham, 1982 #1002]",,Table 4,6.94,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCCCCC,octane,114.23,,"[Abraham, 1982 #1002]",,Table 4,7.16,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCCCC,pentane,72.15,,"[Abraham, 1982 #1002]",,Table 4,6.61,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CCC,propane,44.1,,"[Abraham, 1982 #1002]",,Table 4,6.23,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[Rn],Radon ,222.02,,"[Abraham, 1982 #1002]",,Table 4,5.15,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
S(F)(F)(F)(F)(F)F,sulfur hexafluoride,148.07,,"[Abraham, 1982 #1002]",,Table 4,7.31,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
FC(F)C(F)F,tetrafluoroethane,102.038,,"[Abraham, 1982 #1002]",,Table 4,7.39,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[Sn](C)(C)(C)C,tetramethyltin,178.85,,"[Abraham, 1982 #1002]",,Table 4,6.48,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
[Xe],Xenon,131.29,,"[Abraham, 1982 #1002]",,Table 4,5.6,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
BrCCCC,1-bromobutane,137.02,,"[Abraham, 1984 #112]",,,3.87,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
BrCCCCCCC,1-bromoheptane,179.1,,"[Abraham, 1984 #112]",,,4.61,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
BrCCCCCC,1-bromohexane,165.07,,"[Abraham, 1984 #112]",,,4.45,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
BrCCCCCCCC,1-bromooctane,193.13,,"[Abraham, 1984 #112]",,,4.79,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,1.93
BrCCCCC,1-bromopentane,151.05,,"[Abraham, 1984 #112]",,,4.18,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
BrCCC,1-bromopropane,122.99,,"[Abraham, 1984 #112]",,,3.71,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCC,1-butanol,74.12,,"[Abraham, 1984 #112]",,,-0.45,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C=CCC,1-butene,56.11,,"[Abraham, 1984 #112]",,,5.65,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C#CCC,1-butyne,54.09,,"[Abraham, 1984 #112]",,,4.11,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
ClCCCC,1-chlorobutane,92.57,,"[Abraham, 1984 #112]",,,4.11,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
ClCCCC,1-chlorobutane,92.57,,"[Abraham, 1984 #112]",,,4.05,1.93,kcal/mol,DGTX,25,,cited,,,,,,citing an estimated value (Sm5.4/Am1),,,,
ClCCCCCCC,1-chloroheptane,134.65,,"[Abraham, 1984 #112]",,,4.56,1.93,kcal/mol,DGTX,25,,cited,,,,,,citing an estimated value (Sm5.4/Pm3),,,,
ClCCCCCC,1-chlorohexane,120.62,,"[Abraham, 1984 #112]",,,4.27,1.93,kcal/mol,DGTX,25,,cited,,,,,,citing an estimated value (PSGVB),,,,
ClCCCCC,1-chloropentane,106.6,,"[Abraham, 1984 #112]",,,4.21,1.93,kcal/mol,DGTX,25,,cited,,,,,,citing an experimental measurement,,,,
ClCCCCC,1-chloropentane,106.6,,"[Abraham, 1984 #112]",,,4.26,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
ClCCC,1-chloropropane,78.54,,"[Abraham, 1984 #112]",,,3.94,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCCCCCCC,1-decanol,158.29,,"[Abraham, 1984 #112]",,,0.63,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCCCCCCCCC,1-dodecanol,186.34,,"[Abraham, 1984 #112]",,,0.81,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCCCC,1-heptanol,116.2,,"[Abraham, 1984 #112]",,,0.06,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C=CCCCCC,1-heptene,98.19,,"[Abraham, 1984 #112]",,,5.93,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C#CCCCCC,1-heptyne,96.17,,"[Abraham, 1984 #112]",,,4.87,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCCCCCCCCCCCCC,1-hexadecanol,242.45,,"[Abraham, 1984 #112]",,,0.27,1.93,kcal/mol,DGTX,25,,cited,,,,,,phenyl methyl sulfide,,,,
OCCCCCC,1-hexanol,102.18,,"[Abraham, 1984 #112]",,,-0.14,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C=CCCCC,1-hexene,84.16,,"[Abraham, 1984 #112]",,,5.85,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCCCCC,1-hexylamine,101.19,,"[Abraham, 1984 #112]",,,0.32,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
NCCCCCC,1-hexylamine,101.19,,"[Abraham, 1984 #112]",,,0.24,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C#CCCCC,1-hexyne,82.15,,"[Abraham, 1984 #112]",,,4.56,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
ICCCC,1-iodobutane,184.02,,"[Abraham, 1984 #112]",,,4.03,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
ICCCCCCC,1-iodoheptane,226.1,,"[Abraham, 1984 #112]",,,4.54,1.93,kcal/mol,DGTX,25,,cited,,,,,,citing an estimated value (Sm5.4/Am1),,,,
ICCC,1-iodopropane,169.99,,"[Abraham, 1984 #112]",,,3.74,1.93,kcal/mol,DGTX,25,,cited,,,,,,citing an estimated value (Sm5.4/Pm3),,,,
OCCCCCCCCC,1-nonanol,144.26,,"[Abraham, 1984 #112]",,,0.39,1.93,kcal/mol,DGTX,25,,cited,,,,,,citing an estimated value (PSGVB),,,,
C=CCCCCCCC,1-nonene,126.24,,"[Abraham, 1984 #112]",,,6.33,1.93,kcal/mol,DGTX,25,,cited,,,,,,citing an experimental measurement,,,,
C#CCCCCCCC,1-nonyne,124.23,,"[Abraham, 1984 #112]",,,5.32,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCCCCCCCCCCCCCCC,1-octadecanol,270.5,,"[Abraham, 1984 #112]",,,0.21,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCCCCC,1-octanol,130.23,,"[Abraham, 1984 #112]",,,0.18,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C=CCCCCCC,1-octene,112.22,,"[Abraham, 1984 #112]",,,6.19,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C#CCCCCCC,1-octyne,110.2,,"[Abraham, 1984 #112]",,,4.98,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCCCCCCCCCCCC,1-pentadecanol,228.42,,"[Abraham, 1984 #112]",,,0.53,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCC,1-pentanol,88.15,,"[Abraham, 1984 #112]",,,-0.3,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C=CCCC,1-pentene,70.14,,"[Abraham, 1984 #112]",,,5.94,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
C#CCCC,1-pentyne,68.12,,"[Abraham, 1984 #112]",,,4.29,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCC,1-propanol,60.1,,"[Abraham, 1984 #112]",,,-0.58,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
OCCCCCCCCCCCCCC,1-tetradecanol,214.39,,"[Abraham, 1984 #112]",,,0.54,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O=C(CC)C,2-butanone,72.11,,"[Abraham, 1984 #112]",,,0.56,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CC(=O)CCCCCCCC,2-decanone,156.27,,"[Abraham, 1984 #112]",,,1.92,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O=C(CCCCC)C,2-heptanone,114.19,,"[Abraham, 1984 #112]",,,1.23,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O=C(CCCC)C,2-hexanone,100.16,,"[Abraham, 1984 #112]",,,0.98,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CC(=O)CCCCCCC,2-nonanone,142.24,,"[Abraham, 1984 #112]",,,1.78,1.93,kcal/mol,DGTX,25,,cited,,,,,,"ref state is `an uncharged vacuum reference state`, ie. -dG = m(aq) >> m(gas) at 300K / 27dC",,,,
CC(=O)CCCCCC,2-octanone,128.22,,"[Abraham, 1984 #112]",,,1.39,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O=C(CCC)C,2-pentanone,86.13,,"[Abraham, 1984 #112]",,,0.75,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
CC(=O)CCCCCCCCC,2-undecanone,170.3,,"[Abraham, 1984 #112]",,,2.11,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
O=C(C)C,acetone,58.08,,"[Abraham, 1984 #112]",,,0.46,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
c1ccccc1,benzene,78.11,,"[Abraham, 1984 #112]",,,3.39,1.93,kcal/mol,DGTX,25,,cited,,,,,,,,,,
